,0
id,идентификатор размещения
listing_url,адрес веб-страницы
name,название размещения
host_id,идентификатор владельца
host_name,имя владельца
host_is_superhost,супервладелец
neighbourhood_cleansed,местоположение
property_type,тип собственности
room_type,тип комнаты
bathrooms_text,текстовое описание ванной
bedrooms,спален
beds,коек
amenities,удобства
price,цена
number_of_reviews,число обзоров
first_review,дата первого обзора
last_review,дата последнего обзора
review_scores_rating,рейтинг размещения
review_scores_accuracy,оценка аккуратности
review_scores_cleanliness,оценка чистоты помещения
review_scores_checkin,оценка процедуры заселения
review_scores_communication,оценка наличия и работы средств связи
review_scores_location,оценка местоположения
review_scores_value,оценка по отзывам
reviews_per_month,оценок в месяц
